card,lens_no,lens_echo,pour_no,wine,producer_or_region,blurb,grape,style,vintage,abv,serve,notes,pairs_with,acid,sweet,tannin,body,status
Page of Cups,III,By feel. The surest guide.,1,Les Vieux Clos,"Nicolas Joly, Savennières","Sensitivity is a skill. Nicolas Joly treats his Savennières hillsides as one living organism, herbs and horn and intuition where the textbooks prescribe chemistry, trusting felt sense over spreadsheets. Les Vieux Clos is the result: golden, wild-edged, entirely alive. Feel was the method. It shows.",Chenin Blanc,"White, biodynamic Savennières",2020,14%,"12-14°C, open early","Baked apple, herbs, beeswax","Roast poultry, mushrooms",0.65,0.08,0.1,0.65,draft
Page of Cups,IV,"The hidden note, found. Delighted.",1,Soave Classico,"Pieropan, Veneto","The quiet details reward the curious. Soave hides its complexity behind an easy name: Pieropan's Classico slips almond, white pepper, and a saline echo beneath the pear, notes most drinkers never slow down enough to catch. You caught one. There are three more where it came from.",Garganega,"White, Soave Classico",2022,12.5%,9-11°C,"Pear, almond, white pepper","Risotto, delicate fish",0.7,0.06,0.05,0.45,draft
Knight of Cups,I,"Charmed, clearly. Both ways.",1,Chambolle-Musigny,"Ghislaine Barthod, Burgundy","Seduction is a fair opening move. Chambolle is Burgundy's village of lace, Pinot at its most perfumed and disarming, and Barthod's wines make the approach with roses in hand and structure in reserve. The charm is genuine, which is the dangerous kind. It worked. On both of you.",Pinot Noir,"Red, Chambolle-Musigny",2020,13%,15-16°C,"Rose, raspberry, lace","Duck breast, soft cheeses",0.7,0.04,0.45,0.5,draft
Knight of Cups,II,Beauty first. A fine compass.,1,Château Mouton Rothschild,"Pauillac, Bordeaux","Beauty is worth the errand. Since 1945 Mouton has commissioned its label from a different artist each vintage, Picasso, Chagall, and Warhol among them, paid in cases of the wine itself, art and wine trading beauty for beauty. The compass points somewhere gorgeous. Follow it there.",Cabernet blend,"Red, first growth",2016,13.5%,"17-18°C, decant 1 hr","Cassis, graphite, opulence","Filet, gallery talk",0.6,0.05,0.75,0.85,draft
Knight of Cups,III,"Ideals in front. Romantic, truly.",1,Bourgogne Blanc,"Domaine Leflaive, Burgundy","Conviction is attractive. Anne-Claude Leflaive converted Puligny's most precious vineyards to biodynamics in the nineties while colleagues predicted ruin, betting the family crown on an ideal; the bet remade white Burgundy's conscience. Even the humble Bourgogne carries the belief. Romance, with receipts.",Chardonnay,"White, biodynamic Burgundy",2021,13%,11-13°C,"Citrus, white flowers, stone","Poached fish, goat cheese",0.75,0.04,0.05,0.55,draft
Queen of Cups,I,Deep care. You recognized it.,1,Viña Ardanza Reserva,"La Rioja Alta, Rioja","Care this deep feels effortless. Viña Ardanza rests in American oak and bottle for the better part of a decade before release, racked barrel to barrel by hand, so that what reaches the table has already been loved patiently for years. The softness took work. Comfort always does.",Tempranillo-Garnacha,"Red, Rioja Reserva",2017,14.5%,16°C,"Dried cherry, vanilla, cocoa","Roast lamb, rice dishes",0.65,0.05,0.5,0.6,draft
Queen of Cups,II,Kindness with depth. The rarest blend.,1,Vouvray Moelleux Le Mont,"Domaine Huet, Loire","The gentle ones understand the most. Huet's Moelleux is sweetness with an old soul, honey and quince held upright by Chenin's cool spine, tenderness that never turns cloying because it carries real depth beneath. It listens more than it speaks. When it speaks, it's right.",Chenin Blanc,"White, off-sweet Vouvray",2018,12%,9-11°C,"Honey, quince, chalk","Fruit desserts, foie gras",0.8,0.6,0.05,0.5,draft
Queen of Cups,III,The quiet hour. Restored already.,1,Don Gonzalo Oloroso VOS,"Valdespino, Jerez","Stillness restores what noise takes. Don Gonzalo has aged in quiet oak for over twenty years, oxygen doing its slow pastoral work, and it pours like the end of a long day handled well: walnut, tobacco flower, calm. One small glass. The hour does the rest.",Palomino,"Oloroso sherry, VOS",NV,21%,"14-16°C, small pour","Walnut, tobacco, dried orange","Aged cheeses, dusk",0.6,0.12,0.1,0.7,draft
Queen of Cups,IV,The old remedy. Still potent.,1,10 Year Malmsey,"Blandy's, Madeira","Some comforts were once called medicine. Madeira spent centuries in ships' holds and sickrooms alike, prescribed for body and spirit, a wine that cannot be killed by heat, air, or time. Blandy's Malmsey is the sweet warmth the old doctors trusted. The prescription stands. Refills permitted.",Malmsey,"Fortified, sweet Madeira",NV,19%,14-16°C,"Toffee, raisin, citrus peel","Chocolate, convalescence",0.75,0.75,0.1,0.7,draft
King of Cups,I,"The calm center. Mastery, quietly.",1,Château Palmer,"Margaux, Bordeaux","Composure is the deepest strength. Palmer rules Margaux with an unusual hand, Merlot given nearly equal thrones with Cabernet, power expressed as velvet calm rather than force. Nothing in the glass raises its voice. Nothing needs to. The room adjusts to it.",Cabernet-Merlot blend,"Red, Margaux",2015,13.5%,"17°C, decant 1 hr","Black fruit, violet, truffle","Squab, filet",0.6,0.05,0.65,0.75,draft
King of Cups,II,"Wisdom, aged in. Evident.",1,Castillo Ygay Gran Reserva Especial,"Marqués de Murrieta, Rioja","Time is the honest teacher. Castillo Ygay is held back for decades before release, some editions arriving thirty years after harvest with their lessons fully integrated: dried fruit, sandalwood, patience you can taste. Nothing left to prove, everything left to give. Evidently.",Tempranillo blend,"Red, Gran Reserva Especial",2011,14%,16-17°C,"Dried cherry, sandalwood, spice","Roast lamb, long dinners",0.7,0.04,0.5,0.6,draft
King of Cups,III,Held power. The finest kind.,1,Château Léoville Barton,"St-Julien, Bordeaux","The strongest hand stays lightest. The Barton family has held Léoville since 1826 without once selling out, and the wine mirrors the house: classic claret restraint, power banked rather than brandished, prices kept famously fair when neighbors chased the moon. Control, exercised gently, for two centuries.",Cabernet blend,"Red, classic St-Julien",2016,13.5%,"17°C, decant 1 hr","Cassis, cedar, pencil shaving","Roast beef, hard cheeses",0.65,0.04,0.7,0.7,draft
Ace of Swords,I,Straight through. Clean cut.,1,Santorini Assyrtiko,"Argyros, Greece",One clean stroke settles it. Assyrtiko off Santorini's volcanic ash is acidity as blade: citrus and salt driven straight through whatever muddle preceded the first sip. Argyros farms vines up to two centuries old for extra edge. Confusion doesn't argue with this wine. It can't get a word in.,Assyrtiko,"White, volcanic",2022,14%,9-11°C,"Lemon, flint, sea salt","Raw fish, grilled octopus",0.9,0.03,0.05,0.55,draft
Ace of Swords,II,Precision. Appreciated in kind.,1,Minéral Blanc de Blancs,"Agrapart, Champagne","Exactness is a kind of beauty. Agrapart's Minéral is Champagne drawn with a ruling pen: grand cru Chardonnay from Avize chalk, low dosage, nothing rounded off for comfort. Every line lands where intended. Precision recognizes precision, which is why it's in your glass.",Chardonnay,Blanc de Blancs Champagne,2018,12%,9-11°C,"Lemon, chalk, oyster shell","Sashimi, ceviche",0.85,0.05,0.05,0.45,draft
Ace of Swords,III,For the mind. It will feast.,1,Etna Bianco,"Benanti, Sicily","Some pleasures are for the mind. Carricante grows high on Etna's lava terraces and gives almost nothing hedonistic, no plush fruit, no cushion, just structure, smoke, and a long saline argument worth following to its end. The palate gets a wine. The intellect gets a meal.",Carricante,"White, volcanic Etna",2021,12.5%,10-12°C,"Green apple, ash, salt","Raw shellfish, herbs",0.85,0.03,0.05,0.45,draft
Two of Swords,I,"The standoff, named. Progress.",1,Xinomavro,"Thymiopoulos, Naoussa","Neither side intends to blink. Xinomavro translates roughly as 'acid-black,' and the grape lives up to the standoff: high acid and firm tannin locked opposite each other, neither yielding for years. Thymiopoulos softens the terms without ending the negotiation. The tension is the wine. Name it and pour.",Xinomavro,"Red, Naoussa",2020,13.5%,"16°C, decant 1 hr","Tomato leaf, sour cherry, spice","Lamb, aged cheeses",0.8,0.04,0.75,0.6,draft
Two of Swords,II,"The blindfold, admitted. Halfway off.",1,Château Léoville Las Cases,"St-Julien, Bordeaux","Some answers hide on purpose. Great structured Bordeaux famously enters a 'dumb phase,' years when the wine closes and shows nothing, aromas bound tight behind the blindfold; Las Cases from a big vintage is the textbook case. The silence is strategic. What's underneath is worth the standoff.",Cabernet blend,"Red, structured St-Julien",2005,13%,"17-18°C, decant 2 hrs","Cassis, cedar, iron","Beef, patience",0.65,0.04,0.8,0.8,draft
Two of Swords,III,Both schools honored. Diplomatic.,1,Engelgarten,"Marcel Deiss, Alsace","Both sides had a point. Alsace has argued for a century over what matters more, the grape on the label or the ground underneath; Marcel Deiss answered by co-planting his vineyards and fighting to put field blends back under grand cru law. Engelgarten holds the truce in one glass. Diplomacy, drinkable.",Field blend,"White, Alsace field blend",2020,13%,10-12°C,"Citrus, spice, stone","Choucroute, river fish",0.75,0.15,0.05,0.55,draft
Three of Swords,I,"The sharp truth. Felt, then freeing.",1,Muscadet Granite,"Domaine de l'Ecu, Loire","The truth rarely pads its corners. L'Ecu's Granite is Muscadet at its most unsparing, named for the bedrock and tasting of it, acidity that goes straight for the heart of the matter. It stings for a second. Then everything is clearer than it was.",Melon de Bourgogne,"White, granite Muscadet",2021,12%,8-10°C,"Lemon pith, stone, brine","Raw oysters, clarity",0.85,0.03,0.05,0.4,draft
Three of Swords,II,"Austerity, embraced. Sterner stuff.",1,Sagrantino Pagliaro,"Paolo Bea, Umbria","Not everything wants to be liked. Sagrantino carries the highest tannin load ever measured in a grape, and Paolo Bea refuses to sand it down, bottling the variety at full sternness. It is demanding, sincere, and utterly indifferent to charm. Meeting it halfway is the whole exercise.",Sagrantino,"Red, Montefalco",2016,15%,"17°C, decant 2 hrs","Black plum, dried herbs, iron","Game, hard cheeses",0.65,0.05,0.95,0.85,draft
Three of Swords,III,"Sorrow, inherited. Carried well.",1,Continuum,"Tim Mondavi, Napa Valley","What breaks a heart can build a legacy. When the Mondavi family lost their winery in a corporate sale, Tim Mondavi carried the name to Pritchard Hill and began again; Continuum is the wine made from that severance. Grief, replanted, grew something proud. The heartbreak is in the foundation.",Cabernet blend,"Red, Pritchard Hill",2019,14.5%,"17°C, decant 1 hr","Black cherry, sage, graphite","Lamb, contemplation",0.6,0.05,0.7,0.8,draft
Four of Swords,I,The long rest. Earned twice over.,1,Taurasi Radici,"Mastroberardino, Campania","Rest is where depth accumulates. Aglianico fights all vintage, late-ripening on volcanic slopes, and then Radici sleeps for years in cask and bottle before Mastroberardino lets it speak. The battle earned the rest. The rest earned the voice. Both show.",Aglianico,"Red, Taurasi",2016,13.5%,"17°C, decant 1 hr","Black cherry, tar, dried rose","Braised lamb, aged caciocavallo",0.7,0.04,0.8,0.75,draft
Four of Swords,II,Breathing room. Take it.,1,Howell Mountain Cabernet,"Dunn Vineyards, Napa","A pause changes everything after it. Randy Dunn's mountain Cabernet arrives clenched, tannin like a held breath, and asks for hours in a decanter before it will say anything kind; given the pause, it turns profound. The sanctuary isn't optional here. It's the recipe.",Cabernet Sauvignon,"Red, Howell Mountain",2018,13.9%,"17°C, decant 2-3 hrs","Blackcurrant, earth, spice","Ribeye, rest",0.6,0.04,0.85,0.8,draft
Four of Swords,III,Stillness. The mind thanks you.,1,Vosne-Romanée,"Domaine Grivot, Burgundy","Slow evenings earn their secrets. Mature Vosne-Romanée is Burgundy for the quiet hour, spice and incense unfolding at the pace of a thought fully finished; Grivot's patience in the cellar rewards yours in the chair. No music, no phone. The wine handles the conversation.",Pinot Noir,"Red, mature Vosne",2015,13%,15-16°C,"Incense, dark cherry, spice","Duck, silence",0.65,0.04,0.5,0.6,draft
Five of Swords,I,"The hollow victory, seen through. Astute.",1,Carnival of Love Shiraz,"Mollydooker, McLaren Vale","Trophies weigh less than they look. The Parker era minted wines like this, huge, sweet-fruited, engineered for the loudest possible score, and Carnival of Love collected raves in the high nineties. The points were won. What terroir had to say went unrecorded. Taste the victory. Decide what it cost.",Shiraz,"Red, blockbuster era",2019,16%,16°C,"Blackberry jam, mocha, oak","Barbecue, debate",0.4,0.2,0.55,1.0,draft
Five of Swords,II,"The status war. Costly, as ever.",1,Château Pavie,"St-Émilion, Bordeaux","Status is an expensive argument. St-Émilion's classification has spawned lawsuits, defections, and feuds, Ausone and Cheval Blanc walking out entirely, and Pavie has stood at the center of the century's loudest tasting quarrels. The wine is opulent. The war around it never declared a winner.",Merlot blend,"Red, St-Émilion",2016,14.5%,"17°C, decant 1 hr","Black plum, mocha, spice","Beef, strong opinions",0.55,0.06,0.75,0.9,draft
Five of Swords,III,The feud. Both sides poured.,1,Barolo Cannubi,"E. Pira - Chiara Boschis, Piedmont","Both camps swore they were right. The Barolo Wars split Piedmont for a generation, modernist barriques against grandfather's big casks, families not speaking over oak; Chiara Boschis took up the modernist sword on hallowed Cannubi. The feud made everyone sharper. The wines, on both sides, won.",Nebbiolo,"Red, modernist Barolo",2018,14.5%,"17°C, decant 1 hr","Dark cherry, espresso, rose","Braised beef, truffle",0.7,0.05,0.7,0.7,draft
Six of Swords,I,The crossing. Smoother from here.,1,Historic Series Boston Bual,"Rare Wine Co., Madeira","Distance finishes what land began. Madeira discovered its greatness mid-ocean, casks improving as ships rolled across the tropics, a wine literally completed by the journey away; the Historic Series honors the port cities it sailed to. Rough water made it. Calm water serves it.",Bual,"Fortified, Madeira",NV,19%,14-16°C,"Caramel, orange peel, smoke","Aged cheeses, pecan pie",0.8,0.6,0.1,0.7,draft
Six of Swords,II,The new shore. It suits.,1,Dundee Hills Pinot Noir,"Domaine Drouhin, Oregon","A change of place changes the story. After Oregon Pinot embarrassed Burgundy in a blind tasting, the Drouhin family did the unthinkable and crossed over, planting Dundee Hills in 1987 with Véronique Drouhin making the wine. The passage held. Burgundy's accent, Oregon's light.",Pinot Noir,"Red, Dundee Hills",2021,13.5%,15-16°C,"Red cherry, rose, forest","Salmon, duck",0.7,0.04,0.45,0.55,draft
Six of Swords,III,Calm water. Deserved.,1,Fiano di Avellino,"Feudi di San Gregorio, Campania","The simplest comfort follows the storm. Fiano is the palate's quiet ferry: hazelnut and pear over clean stone, no drama, no demands, exactly what the mind orders after wines that shout. Feudi's version glides. Stillness, it turns out, is a style.",Fiano,"White, Campania",2022,13%,10-12°C,"Pear, hazelnut, herbs","Seafood pasta, soft cheeses",0.7,0.05,0.05,0.5,draft
Six of Swords,IV,"Apart, by design. Sensible.",1,Patrimonio Blanc,"Antoine Arena, Corsica","Some places keep their own counsel. Corsica belongs to France on paper and to itself in practice, and Antoine Arena's Vermentino tastes of that independence: maquis herbs, salt, granite, no mainland manners. The island never asked for approval. The wine explains why.",Vermentino,"White, Corsican",2021,13.5%,10-12°C,"Citrus, maquis herbs, salt","Grilled fish, fresh cheese",0.75,0.05,0.05,0.5,draft
Seven of Swords,I,"The disguise, admired. Takes taste.",1,Trousseau Singulier,"Stéphane Tissot, Jura","Imitation studies its subject. Tissot's Trousseau wears rosé's pale clothing over a red wine's intentions, slipping past every visual checkpoint before the palate discovers structure, spice, and grip. The disguise is flawless until it's too late. Admiring the craft is the correct response.",Trousseau,"Red, pale Jura",2021,13%,"13-14°C, light chill","Red currant, pepper, earth","Charcuterie, duck",0.75,0.04,0.35,0.4,draft
Seven of Swords,II,Almost perfect. That's the fun part.,1,Morey-Saint-Denis,"Domaine Ponsot, Burgundy","Every forger slips eventually. Rudy Kurniawan faked rare Burgundy so well he fooled millionaires for years, until he counterfeited a Ponsot vintage that never existed and Laurent Ponsot flew to New York to stop the auction himself. The real thing pours here. Accept no substitutes; some exist.",Pinot Noir,"Red, Morey-Saint-Denis",2019,13%,15-16°C,"Dark cherry, underbrush, spice","Game birds, intrigue",0.7,0.04,0.5,0.55,draft
Seven of Swords,III,"The shortcut. Noted, not judged.",1,Apothic Red,"California, USA","Cunning has its own toolkit. Apothic Red is built for maximum smoothness by any means available, color deepened, sweetness tuned, a wine engineered as much as grown, and it sells by the ocean. The shortcut works; that was never in question. What it skips is the conversation.",Zinfandel-Merlot blend,"Red, engineered smooth",2022,13.5%,15°C,"Dark fruit, mocha, vanilla","Burgers, no questions",0.4,0.4,0.35,0.75,draft
Seven of Swords,IV,Past the label. Sharp instincts.,1,Emilien,"Château Le Puy, Bordeaux","Labels lie in both directions. Le Puy's plain wrapper hides a Bordeaux estate farmed without chemicals since 1610, ignored by the classifications and adored by those who taste blind; a Japanese wine comic once named it and emptied the world's shelves overnight. Instinct beat the label. It usually does.",Merlot blend,"Red, natural Bordeaux",2019,13%,16°C,"Red fruit, earth, violets","Roast fowl, discernment",0.7,0.04,0.5,0.6,draft
Eight of Swords,I,"The bindings, named. First step.",1,Barolo,"Massolino, Piedmont","Even good fences feel tight sometimes. Barolo's DOCG code dictates the grape, the hill, and thirty-eight months of waiting before release, rules that bind every bottle before a cork goes in; Massolino works gracefully inside the wire. The bindings are real. So is what they protect.",Nebbiolo,"Red, Barolo DOCG",2019,14%,"17°C, decant 1 hr","Cherry, tar, licorice","Braised beef, risotto",0.7,0.05,0.75,0.65,draft
Eight of Swords,II,"Coiled, for now. Springs do that.",1,Château Pichon Baron,"Pauillac, Bordeaux","The tension is temporary. Pichon Baron from a tannic vintage like 2010 is wine wound to full compression, structure coiled around fruit that can barely move yet; a decade loosens what force never could. Springs store power precisely by being held. Release is scheduled.",Cabernet blend,"Red, structured Pauillac",2010,13.5%,"17-18°C, decant 2 hrs","Blackcurrant, graphite, cedar","Beef, the long view",0.6,0.04,0.85,0.85,draft
Eight of Swords,III,The release. Any moment now.,1,Barolo Tre Tine,"Giuseppe Rinaldi, Piedmont","Release is a matter of time. Rinaldi's Barolo opens shut tight, aromas pinned behind tannin, and then, with hours of air, walks free: roses, tar, sudden generosity, as if the ropes were never tied. They weren't, of course. The decanter just proves it.",Nebbiolo,"Red, traditional Barolo",2018,14%,"17°C, decant 2-3 hrs","Rose, tar, red cherry","Brasato, patience rewarded",0.75,0.04,0.8,0.65,draft
Eight of Swords,IV,The forbidden years. They survived.,1,Georges de Latour Private Reserve,"Beaulieu Vineyard, Napa","What's banned rarely stays gone. Prohibition shuttered Napa for thirteen years, but Beaulieu kept its vines alive on a technicality, making sacramental wine for the church while neighbors ripped out vineyards. The loophole preserved a legacy. The Private Reserve is what survival aged into.",Cabernet Sauvignon,"Red, historic Napa",2019,14.5%,"17°C, decant 1 hr","Cassis, cocoa, dust","Prime rib, history",0.55,0.06,0.65,0.8,draft
Nine of Swords,I,The racing mind. Aim it here.,1,Von der Fels Riesling,"Keller, Rheinhessen","Intensity can be pointed somewhere. Keller's Von der Fels is Riesling that demands the whole mind, limestone tension and citrus wound tight enough to hold any amount of attention you bring it. The three a.m. energy finally has a worthy object. Focus, redirected, tastes like this.",Riesling,"White, dry Rheinhessen",2022,12.5%,9-11°C,"Lime, limestone, white peach","Trout, concentration",0.85,0.06,0.05,0.45,draft
Nine of Swords,II,"Nerves, harnessed. Electric.",1,Chablis,"Samuel Billaud, Burgundy","Tension, aimed well, becomes energy. Chablis runs on nerve, acidity strung like wire over cold Kimmeridgian stone, and Billaud bottles the current without grounding it. The same charge that rattles a mind at midnight drives this wine forward. Harnessed, it's not anxiety. It's voltage.",Chardonnay,"White, Chablis",2021,12.5%,9-11°C,"Lemon, oyster shell, steel","Oysters, taut evenings",0.85,0.03,0.05,0.45,draft
Nine of Swords,III,"Grounded. The cure, mostly.",1,La Croix Boissée,"Bernard Baudry, Chinon","The ground is where worry ends. Baudry's top Chinon comes off limestone slopes and tastes unmistakably of somewhere: earth, ferrous depth, roots holding fast. Wines like this don't spiral; they stand still and let you match them. Grounding, by the glass. Mostly it works.",Cabernet Franc,"Red, Chinon",2019,13%,15-16°C,"Dark raspberry, iron, earth","Roast pork, root vegetables",0.7,0.04,0.55,0.6,draft
Ten of Swords,I,The final chapter. Read closely.,1,Cornas,"Noël Verset, Rhône","Some endings close the book entirely. Noël Verset made Cornas from ancient hillside vines until his last vintages in the mid-2000s, and when he stopped, a whole way of working stopped with him; the remaining bottles are the closing pages. No sequel was possible. Read slowly.",Syrah,"Red, old-school Cornas",2003,13%,"16-17°C, decant gently","Black olive, iron, violet","Game, reverence",0.7,0.04,0.65,0.7,draft
Ten of Swords,II,"The ruin, honored. Solemnly so.",1,Lacryma Christi del Vesuvio Rosso,"Mastroberardino, Campania","History buried is history kept. These vines grow on Vesuvius, the volcano that ended Pompeii in an afternoon, and Mastroberardino was chosen to replant the ancient vineyards inside the ruins themselves. The wine is called Christ's tears. Endings this absolute still bear fruit. Solemnly, annually.",Piedirosso,"Red, volcanic Vesuvius",2021,13%,15-16°C,"Red plum, ash, herbs","Pasta puttanesca, eggplant",0.65,0.05,0.45,0.55,draft
Ten of Swords,III,"Simplicity, after everything. Mercy indeed.",1,Dolcetto d'Alba,"G.D. Vajra, Piedmont","When it's all over, simple is enough. Dolcetto is Piedmont's mercy grape, soft where Nebbiolo is stern, ready now where Barolo asks for a decade; Vajra makes it with the same care as their great wines and none of the demands. After the tenth sword, this. Just this.",Dolcetto,"Red, easy Piedmont",2022,13%,15°C,"Black cherry, almond, plum","Weeknight pasta, recovery",0.65,0.05,0.4,0.55,draft
Page of Swords,I,Fully alert. Match found.,1,Sancerre Grande Réserve,"Henri Bourgeois, Loire","Sharp minds like sharp company. Loire Sauvignon is wine at full alert, gooseberry and flint with its eyes open, nothing drowsy anywhere in the glass; Bourgeois has sharpened the family style for ten generations. Alertness recognizes alertness. Consider yourselves introduced.",Sauvignon Blanc,"White, Sancerre",2022,13%,9-11°C,"Gooseberry, flint, herbs","Goat cheese, quick wit",0.85,0.04,0.05,0.4,draft
Page of Swords,II,The new method. Clever thing.,1,Derthona Timorasso,"Vigneti Massa, Piedmont","Fresh methods find fresh answers. Timorasso was down to a few forgotten rows when Walter Massa bet his career on reviving it, and the grape answered with a white that ages like Riesling and thinks like Barolo. The old answer was extinction. The new question found a better one.",Timorasso,"White, revived Piedmont",2020,14%,10-12°C,"Honey, flint, ginger","Veal, aged cheeses",0.75,0.05,0.1,0.65,draft
Page of Swords,III,"The place, read fluently. Scholarly.",1,Pouilly-Fumé La Moynerie,"Michel Redde, Loire","Every place has a handwriting. Pouilly-Fumé's flint soils sign their wines with actual gunsmoke, a struck-match note rising off the Sauvignon that soil scientists can trace to the stone; Redde's La Moynerie is a legible page of it. Read the glass. The ground wrote back.",Sauvignon Blanc,"White, flinty Pouilly-Fumé",2022,13%,9-11°C,"Gunflint, citrus, smoke","Smoked trout, chèvre",0.8,0.04,0.05,0.45,draft
Page of Swords,IV,Light-footed. It darts.,1,Il Frappato,"Arianna Occhipinti, Sicily","Lightness moves fastest. Arianna Occhipinti planted her first hectare at twenty-two and built Sicily's most restless estate on Frappato, a red that flickers where others plod: wild strawberry, herbs, sudden turns. It never sits still in the glass. Neither did she.",Frappato,"Red, light Sicilian",2021,12.5%,"13-14°C, light chill","Wild strawberry, herbs, pepper","Grilled fish, antipasti",0.75,0.04,0.3,0.4,draft
Knight of Swords,I,No preamble. Respected.,1,Cornas,"Auguste Clape, Rhône","Directness saves everyone time. Clape's Cornas is Syrah off raw granite with no softening agent anywhere in the process: black fruit, iron, and conviction, delivered at full gallop from the first pour. No preamble was drafted. None was ever going to be.",Syrah,"Red, Cornas",2019,13.5%,"16-17°C, decant 1 hr","Black fruit, iron, smoke","Grilled lamb, resolve",0.7,0.04,0.75,0.75,draft
Knight of Swords,II,The sharp exit. Memorable.,1,Barbaresco Pajè,"Roagna, Piedmont","The ending is part of the argument. Roagna macerates for months in the old style, then lets the wine finish on a blade: a long, linear exit that cuts off precisely where it means to, leaving the palate mid-thought. Conversations end. The memorable ones end like this.",Nebbiolo,"Red, long-maceration Barbaresco",2017,14%,"17°C, decant 1 hr","Red cherry, herbs, stone","Braised veal, aftermath",0.75,0.04,0.75,0.6,draft
Knight of Swords,III,"Permission, skipped. Efficient.",1,Beckstoffer To Kalon Cabernet,"Schrader Cellars, Napa","Boundaries are suggestions to some. Fred Schrader charged into Napa's most famous vineyard rows and bottled To Kalon Cabernets that collected perfect scores by the fistful, cult status achieved at cavalry speed. Nobody granted approval in advance. Approval caught up later, as it does.",Cabernet Sauvignon,"Red, cult Napa",2019,14.9%,"17°C, decant 1 hr","Blackberry, cocoa, violets","Ribeye, momentum",0.5,0.08,0.7,0.9,draft
Queen of Swords,I,Unvarnished. How refreshing.,1,Cuvée Frédéric Émile,"Trimbach, Alsace","Honesty is the highest courtesy. Frédéric Émile is dry Riesling with no varnish anywhere: austere, precise, telling the vintage's truth whether flattering or not, softened only by time and never by technique. It does not perform warmth. It offers respect instead, which lasts longer.",Riesling,"White, grand dry Alsace",2017,13%,10-12°C,"Lime, steel, stone","Trout, candor",0.85,0.03,0.05,0.5,draft
Queen of Swords,II,Clean lines. Nothing blurred.,1,Domaine de Chevalier Blanc,"Pessac-Léognan, Bordeaux","Definition is a form of respect. Domaine de Chevalier's white draws every line clean, Sauvignon's edge inked over Sémillon's weight, oak fitted like tailoring rather than padding. Nothing smudges. Boundaries this clear aren't cold; they're consideration, structurally expressed.",Sauvignon-Sémillon blend,"White, Pessac-Léognan",2019,13.5%,10-12°C,"Grapefruit, beeswax, cedar","Lobster, composure",0.75,0.05,0.05,0.6,draft
Queen of Swords,III,The saline wit. Bracing company.,1,La Guita Manzanilla,"Sanlúcar de Barrameda, Spain","Wit this dry keeps its edge. Manzanilla ages under flor beside the Atlantic and picks up the sea's vocabulary: salt, chamomile, a finish like a raised eyebrow. La Guita pours the driest company in Spain. Bracing, yes. You'll want the second glass to keep arguing.",Palomino,Manzanilla sherry,NV,15%,"7-9°C, fresh bottle","Chamomile, salt, green almond","Fried fish, banter",0.6,0.02,0.05,0.3,draft
King of Swords,I,High standards. Met and matched.,1,Morstein Riesling GG,"Wittmann, Rheinhessen","Precision is a promise kept. Germany's Grosses Gewächs system exists to certify exactness, one grape, one great site, dry, and Wittmann's biodynamic Morstein honors the contract to the letter: limestone, lime, laser. Standards this high select their own company. Present company included.",Riesling,"White, GG dry",2021,13%,10-12°C,"Lime, limestone, herbs","Poached fish, exactness",0.85,0.04,0.05,0.5,draft
King of Swords,II,Deep study. It commands now.,1,Château Pichon Comtesse,"Pauillac, Bordeaux","Depth is earned, then shared. Mature Pichon Comtesse is Pauillac after decades of study, tannin resolved into authority, cassis annotated with cedar and tobacco, every year of the education legible. It commands the table without effort. That's what the studying was for.",Cabernet blend,"Red, mature Pauillac",2010,13.5%,"17-18°C, decant 1 hr","Cassis, cedar, tobacco","Rack of lamb, counsel",0.6,0.04,0.7,0.75,draft
King of Swords,III,The long plan. Checkmate.,1,Tío Diego Amontillado,"Valdespino, Jerez","Foresight compounds quietly. A solera is strategy made of barrels: each bottling drawn from a chain of casks laid down across decades, every generation provisioning the next. Valdespino's Tío Diego executes a plan older than its drinkers. The endgame was always this glass. Checkmate, gently.",Palomino,"Amontillado sherry, dry",NV,18%,12-14°C,"Hazelnut, salt, oak","Jamón, endgames",0.65,0.05,0.05,0.55,draft
Ace of Pentacles,I,First ground broken. Momentous.,1,Bloom's Field Pinot Noir,"Domaine de la Côte, Sta. Rita Hills",Everything grand was once ground level. Domaine de la Côte began as bare coastal slope and a conviction that Sta. Rita Hills could yield Pinot of real consequence; the first vintages proved the ground right. Bloom's Field is the seed money made drinkable. Foundations taste like this early.,Pinot Noir,"Red, coastal Pinot",2021,12.5%,15-16°C,"Dark cherry, herbs, sea air","Duck, mushroom dishes",0.75,0.04,0.4,0.5,draft
Ace of Pentacles,II,The reclamation. Good earth knows.,1,Lytton Springs,"Ridge Vineyards, Dry Creek Valley","Good earth waits patiently. The old vines at Lytton Springs were a century deep when Ridge took over their stewardship, ancient Zinfandel rows brought back into full voice rather than ripped out for something easier. The ground remembered everything. It just needed someone to ask.",Zinfandel blend,"Red, heritage vineyard",2021,14.5%,15-16°C,"Brambleberry, pepper, cedar","Barbecue, roast lamb",0.6,0.08,0.55,0.75,draft
